,start_station_name,start_station_longitude,start_station_latitude,ride_start_date
233,Pike St & Monroe St,-73.99193043,40.71173107,46
234,Pitt St & Stanton St,-73.98178024,40.71926081,37
235,Railroad Ave & Kay Ave,-73.97100056,40.70531194,5
236,Reade St & Broadway,-74.00562789,40.71450451,92
237,Rivington St & Chrystie St,-73.9919254,40.72110063,107
238,Rivington St & Ridge St,-73.98329859,40.71850211,61
239,S 3 St & Bedford Ave,-73.96264403,40.71260486,30
240,S 4 St & Wythe Ave,-73.96590294,40.71285887,36
241,S 5 Pl & S 4 St,-73.960876,40.710451,73
242,S Portland Ave & Hanson Pl,-73.97431458,40.68539567,28
243,Sands St & Gold St,-73.98271933,40.69986937,29
244,Shevchenko Pl & E 6 St,-73.990214,40.728145,115
245,South End Ave & Liberty St,-74.015756,40.711512,188
246,South St & Gouverneur Ln,-74.00670227,40.70355377,92
247,South St & Whitehall St,-74.01234218,40.70122128,67
248,Spruce St & Nassau St,-74.00552427,40.71146364,95
249,St James Pl & Oliver St,-73.99851193,40.71307916,74
250,St James Pl & Pearl St,-74.00016545,40.71117416,58
251,St Marks Pl & 1 Ave,-73.98564945,40.72779126,159
252,St Marks Pl & 2 Ave,-73.98713956,40.7284186,169
253,Stanton St & Chrystie St,-73.99147535,40.72229346,152
254,Stanton St & Mangin St,-73.97628939,40.71782143,47
255,State St,-74.01427023,40.70251526,85
256,State St & Smith St,-73.98912867,40.68926942,76
257,Suffolk St & Stanton St,-73.98517977,40.72066442,166
258,Sullivan St & Washington Sq,-73.99906065,40.73047747,182
259,University Pl & E 14 St,-73.99200509,40.73492695,353
260,Vesey Pl & River Terrace,-74.01658354,40.7153379,226
261,W 11 St & 6 Ave,-73.99800419,40.73532427,134
262,W 13 St & 5 Ave,-73.99453948,40.73543934,148
263,W 13 St & 6 Ave,-73.99704374,40.73649403,216
264,W 13 St & 7 Ave,-73.99994661,40.73781509,180
265,W 14 St & The High Line,-74.00803013,40.74195138,81
